priority,type,raw_term,occurrences,style_count,source_count,raw_pom_numbers,variants,example_styles,candidate_1,candidate_1_score,candidate_2,candidate_2_score,candidate_3,candidate_3_score,conflict_key,conflict_observations,warnings,td_action,approved_concept_id,td_notes
HIGH,unresolved_term,sling height at cf,3,3,3,9,Sling height at CF,trulysofty__va10 | trulysofty__va20 | trulysofty__va30,cup_height (POM 9),0.575,cup_height_center_front (POM 8),0.457,cradle_height_center_front (POM 6),0.421,,,,,,
HIGH,unresolved_term,strap width elastic,3,3,3,11,Strap width - elastic,deliabra__va10 | deliabra__va20 | deliabra__vb10,back_center_length (POM 12),0.267,,,,,,,,,,
HIGH,unresolved_term,strap width on folded,3,3,3,10,Strap width- on folded,celyngrace__va10 | celyngrace__va30 | curvyflex__va11,back_center_length (POM 12),0.387,,,,,,,,,,
HIGH,unresolved_term,center back length at top,2,2,2,12 | 14,Center back length - at top | Center back length at top,auraform__va20 | serashape__va20,back_center_length (POM 12),0.977,side_seam_length (POM 11),0.303,,,,,,,,
HIGH,unresolved_term,center front height at middle,2,2,2,8,Center Front Height- at middle,myraform__vb10 | myraform__vb20,cup_height_center_front (POM 8),0.876,center_front_height (POM 5),0.8,cradle_height_center_front (POM 6),0.792,,,,,,
HIGH,unresolved_term,cradle height at center front on inner layer,2,2,1,7,Cradle Height at Center Front on inner layer,shapernova__vb10 | shapernova__vb11,cradle_height_center_front (POM 6),0.8,cup_height_center_front (POM 8),0.632,cradle_height_bottom_cup (POM 7),0.603,,,,,,
HIGH,unresolved_term,cradle height at center front on outter layer,2,2,1,8,Cradle Height at Center Front on outter layer,shapernova__vb10 | shapernova__vb11,cradle_height_center_front (POM 6),0.787,cup_height_center_front (POM 8),0.741,center_front_height (POM 5),0.566,,,,,,
HIGH,unresolved_term,cup height at outter,2,2,2,3,Cup height- at outter,honeylift__vb10 | honeylift__vb30,cup_height (POM 9),0.897,cup_height_center_front (POM 8),0.649,cradle_height_bottom_cup (POM 7),0.579,,,,,,
HIGH,unresolved_term,cup width at outter,2,2,2,4,Cup width -at outter,honeylift__vb10 | honeylift__vb30,cup_width (POM 10),0.815,back_center_length (POM 12),0.276,,,,,,,,
HIGH,unresolved_term,cup width inner,2,2,2,12,Cup width inner,trulysofty__vb20 | trulysofty__vb30,cup_width (POM 10),1,back_center_length (POM 12),0.428,,,,,,,,
HIGH,unresolved_term,inner cup height at cf,2,2,2,5,Inner cup height at CF,amylift__vc20 | amylift__vc30,cup_height (POM 9),0.867,cup_height_center_front (POM 8),0.632,cradle_height_bottom_cup (POM 7),0.462,,,,,,
HIGH,unresolved_term,strap width at shoulder,2,2,2,10 | 15,Strap width at Shoulder | Strap width at shoulder,annabrace__vb30 | lifttiva__va10,back_center_length (POM 12),0.364,,,,,,,,,,
HIGH,unresolved_term,strap width at shoulder elastic width,2,2,2,13,Strap width at shoulder ( elastic width ),softyvera__va10 | softyvera__vb20,back_center_length (POM 12),0.267,,,,,,,,,,
HIGH,unresolved_term,back panel height outer bra,1,1,1,18,Back panel height - outer bra,trulysofty__vb30,back_panel_height (POM 13),0.778,back_center_length (POM 12),0.558,,,,,,,,
HIGH,unresolved_term,back strap width,1,1,1,16,Back strap width,liftglowbra__va10,back_center_length (POM 12),0.296,,,,,,,,,,
HIGH,unresolved_term,bottom panel height at center front,1,1,1,6,Bottom panel height at Center Front,sofylift__vb30,cradle_height_center_front (POM 6),0.799,cup_height_center_front (POM 8),0.72,center_front_height (POM 5),0.667,,,,,,
HIGH,unresolved_term,center back length at bottom,1,1,1,15,Center back length at bottom,auraform__vb20,back_center_length (POM 12),0.789,side_seam_length (POM 11),0.278,,,,,,,,
HIGH,unresolved_term,center back length at h e,1,1,1,15,Center back length - at H&E,auraform__va20,back_center_length (POM 12),0.882,side_seam_length (POM 11),0.313,,,,,,,,
HIGH,unresolved_term,center front height at velcro,1,1,1,8,Center Front Height- at velcro,deliabra__vb10,cup_height_center_front (POM 8),0.876,center_front_height (POM 5),0.8,cradle_height_center_front (POM 6),0.75,,,,,,
HIGH,unresolved_term,cf cup height at sling,1,1,1,7,CF cup height at sling,celinebloom__va10,cup_height (POM 9),0.64,cradle_height_bottom_cup (POM 7),0.582,cup_height_center_front (POM 8),0.526,,,,,,
LOW,unresolved_term,clasp height at center front,1,1,1,7,Clasp height at center front,amoreease__va10,cup_height_center_front (POM 8),0.864,center_front_height (POM 5),0.769,cradle_height_center_front (POM 6),0.766,,,,,,
LOW,unresolved_term,cradle height at center front top mesh,1,1,1,7,Cradle Height at Center Front top mesh,juliabra__va20,cradle_height_center_front (POM 6),0.873,cup_height_center_front (POM 8),0.692,cradle_height_bottom_cup (POM 7),0.686,,,,,,
LOW,unresolved_term,cup height at bottom,1,1,1,8,Cup height at bottom,celinebloom__va10,cradle_height_bottom_cup (POM 7),0.8,cup_height (POM 9),0.667,cup_height_center_front (POM 8),0.661,,,,,,
LOW,unresolved_term,cup height at center,1,1,1,5,Cup height at Center,glacyhug__vb20,cup_height_center_front (POM 8),0.865,cup_height (POM 9),0.69,cradle_height_bottom_cup (POM 7),0.5,,,,,,
LOW,unresolved_term,cup height at center front mesh,1,1,1,6,Cup Height at Center Front mesh,juliabra__va30,cup_height_center_front (POM 8),0.913,cradle_height_center_front (POM 6),0.855,center_front_height (POM 5),0.732,,,,,,
